match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
r_498,2011-09-02,11/12,Euros Qualifier,,A,Cyprus,Portugal,win,2,1,90,,,,,,"1 pen goal, 1 inside box goal, 1 left foot goal, 1 right foot goal",Ronaldo,Portugal
r_497,2011-08-28,11/12,La Liga,,A,Real Zaragoza,Real Madrid,win,3,0,90,10.0,16.0,8.0,0.0,Yes,"3 inside box goal, 1 left foot goal, 2 right foot goal",Ronaldo,Real Madrid
r_496,2011-08-17,11/12,Supercopa de Espana,Final,A,Barcelona,Real Madrid,loss,1,0,90,,,,,,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_495,2011-08-14,11/12,Supercopa de Espana,Final,H,Real Madrid,Barcelona,draw,0,0,90,,,,,,,Ronaldo,Real Madrid
r_494,2011-08-10,11/12,International Friendly,,H,Portugal,Luxembourg,win,1,1,45,,,,,,"1 free kick goal, 1 right foot goal",Ronaldo,Portugal
r_493,2011-06-04,10/11,Euros Qualifier,,H,Portugal,Norway,win,0,0,90,,,,,,,Ronaldo,Portugal
r_492,2011-05-21,10/11,La Liga,,H,Real Madrid,Almeria,win,2,3,90,10.0,6.0,4.0,7.0,Yes,"2 inside box goal, 2 right foot goal",Ronaldo,Real Madrid
r_491,2011-05-15,10/11,La Liga,,A,Villarreal,Real Madrid,win,2,0,90,9.13,3.0,3.0,0.0,Yes,"2 free kick goal, 2 right foot goal",Ronaldo,Real Madrid
r_490,2011-05-10,10/11,La Liga,,H,Real Madrid,Getafe,win,3,0,90,9.92,11.0,4.0,3.0,Yes,"1 pen goal, 2 inside box goal, 1 left foot goal, 1 right foot goal, 1 header goal",Ronaldo,Real Madrid
r_489,2011-05-07,10/11,La Liga,,A,Sevilla,Real Madrid,win,4,0,90,10.0,11.0,6.0,1.0,Yes,"4 inside box goal, 4 right foot goal",Ronaldo,Real Madrid
r_488,2011-05-03,10/11,Champs League,SF,A,Barcelona,Real Madrid,draw,0,0,90,6.88,0.0,0.0,0.0,No,,Ronaldo,Real Madrid
r_487,2011-04-27,10/11,Champs League,SF,H,Real Madrid,Barcelona,loss,0,0,90,7.07,8.0,2.0,0.0,No,,Ronaldo,Real Madrid
r_486,2011-04-23,10/11,La Liga,,A,Valencia,Real Madrid,win,0,0,23,5.78,0.0,0.0,0.0,No,,Ronaldo,Real Madrid
r_485,2011-04-20,10/11,Copa del Rey,Final,N,Real Madrid,Barcelona,win,1,0,120,,,,,,"1 inside box goal, 1 header goal",Ronaldo,Real Madrid
r_484,2011-04-16,10/11,La Liga,,H,Real Madrid,Barcelona,draw,1,0,90,7.08,7.0,3.0,0.0,No,"1 pen goal, 1 right foot goal",Ronaldo,Real Madrid
r_483,2011-04-13,10/11,Champs League,QF,A,Tottenham Hotspur,Real Madrid,win,1,0,65,7.66,3.0,1.0,1.0,No,"1 outside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_482,2011-04-09,10/11,La Liga,,A,Athletic Bilbao,Real Madrid,win,1,0,29,7.51,4.0,2.0,0.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_481,2011-04-05,10/11,Champs League,QF,H,Real Madrid,Tottenham Hotspur,win,1,0,90,8.41,14.0,3.0,3.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_480,2011-03-19,10/11,La Liga,,A,Atletico Madrid,Real Madrid,win,0,0,72,7.5,9.0,2.0,0.0,No,,Ronaldo,Real Madrid
r_479,2011-03-16,10/11,Champs League,R16,H,Real Madrid,Lyon,win,0,1,74,7.76,5.0,2.0,2.0,No,,Ronaldo,Real Madrid
r_478,2011-03-03,10/11,La Liga,,H,Real Madrid,Malaga,win,3,0,78,10.0,7.0,6.0,0.0,No,"1 pen goal, 2 inside box goal, 1 left foot goal, 2 right foot goal",Ronaldo,Real Madrid
r_477,2011-02-26,10/11,La Liga,,A,Deportivo La Coruna,Real Madrid,draw,0,0,90,8.24,8.0,4.0,2.0,No,,Ronaldo,Real Madrid
r_476,2011-02-22,10/11,Champs League,R16,A,Lyon,Real Madrid,draw,0,1,90,7.8,3.0,1.0,3.0,Yes,,Ronaldo,Real Madrid
r_475,2011-02-19,10/11,La Liga,,H,Real Madrid,Levante,win,0,1,90,7.67,10.0,3.0,1.0,No,,Ronaldo,Real Madrid
r_474,2011-02-13,10/11,La Liga,,A,Espanyol,Real Madrid,win,0,1,90,8.68,7.0,2.0,6.0,No,,Ronaldo,Real Madrid
r_473,2011-02-09,10/11,International Friendly,,N,Portugal,Argentina,loss,1,0,61,,,,,,"1 inside box goal, 1 right foot goal",Ronaldo,Portugal
r_472,2011-02-06,10/11,La Liga,,H,Real Madrid,Real Sociedad,win,2,0,90,9.21,15.0,4.0,2.0,Yes,"1 inside box goal, 1 outside box goal, 1 left foot goal, 1 header goal",Ronaldo,Real Madrid
r_471,2011-02-02,10/11,Copa del Rey,SF,H,Real Madrid,Sevilla,win,0,0,90,,,,,,,Ronaldo,Real Madrid
r_470,2011-01-30,10/11,La Liga,,A,Osasuna,Real Madrid,loss,0,0,90,6.57,9.0,2.0,2.0,No,,Ronaldo,Real Madrid
r_469,2011-01-26,10/11,Copa del Rey,SF,A,Sevilla,Real Madrid,win,0,0,90,,,,,,,Ronaldo,Real Madrid
r_468,2011-01-23,10/11,La Liga,,H,Real Madrid,Mallorca,win,0,0,90,7.45,7.0,1.0,2.0,No,,Ronaldo,Real Madrid
r_467,2011-01-20,10/11,Copa del Rey,QF,A,Atletico Madrid,Real Madrid,win,1,0,90,,,,,,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_466,2011-01-16,10/11,La Liga,,A,Almeria,Real Madrid,draw,0,0,90,7.28,9.0,5.0,1.0,No,,Ronaldo,Real Madrid
r_465,2011-01-13,10/11,Copa del Rey,QF,H,Real Madrid,Atletico Madrid,win,1,0,90,,,,,,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_464,2011-01-09,10/11,La Liga,,H,Real Madrid,Villarreal,win,3,1,90,9.98,5.0,3.0,6.0,Yes,"3 inside box goal, 1 left foot goal, 1 right foot goal, 1 header goal",Ronaldo,Real Madrid
r_463,2011-01-03,10/11,La Liga,,A,Getafe,Real Madrid,win,2,0,90,8.97,8.0,3.0,2.0,Yes,"1 pen goal, 1 inside box goal, 2 right foot goal",Ronaldo,Real Madrid
r_462,2010-12-22,10/11,Copa del Rey,R16,H,Real Madrid,Levante,win,3,1,90,,,,,,"3 inside box goal, 3 right foot goal",Ronaldo,Real Madrid
r_461,2010-12-19,10/11,La Liga,,H,Real Madrid,Sevilla,win,0,0,90,7.37,4.0,3.0,1.0,No,,Ronaldo,Real Madrid
r_460,2010-12-12,10/11,La Liga,,A,Real Zaragoza,Real Madrid,win,1,0,90,7.94,6.0,1.0,2.0,No,"1 free kick goal, 1 right foot goal",Ronaldo,Real Madrid
r_459,2010-12-08,10/11,Champs League,Group,H,Real Madrid,Auxerre,win,1,1,72,8.54,2.0,1.0,2.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_458,2010-12-04,10/11,La Liga,,H,Real Madrid,Valencia,win,2,0,90,9.89,9.0,5.0,3.0,Yes,"2 inside box goal, 1 left foot goal, 1 right foot goal",Ronaldo,Real Madrid
r_457,2010-11-29,10/11,La Liga,,A,Barcelona,Real Madrid,loss,0,0,90,6.48,3.0,1.0,0.0,No,,Ronaldo,Real Madrid
r_456,2010-11-23,10/11,Champs League,Group,A,Ajax,Real Madrid,win,2,0,90,9.78,7.0,3.0,5.0,Yes,"1 pen goal, 1 inside box goal, 1 left foot goal, 1 right foot goal",Ronaldo,Real Madrid
